tsr_no,service_type,partition,is_hadev,pool_monitor,pool_port,pool_member_list,vs_name,vip,vip_port,snat_pool,client_tcp,server_tcp,CreatedDate
RID-00006,highport,Cloud,False,monTcp_OCP4_eai-cdi-integrationsuite-aat3_31330_dc6,,cldinfvmctst70c:31330 cldinfvmctst70d:31330 cldinfvmctst70e:31330,vs_OCP4_eai-cdi-integrationsuite-aat3_31330_dc6,160.93.31.41,,snatpool_OCP4_cloudhighportService_dc6,pTcp_cloudTcpClient_Verified_dc6,pTcp_cloudTcpServer_dc6,2024-01-19 15:13
RID-00006,highport,Cloud,False,monTcp_OCP4_eai-cdi-integrationsuite-aat3_31330_dc6,,cldinfvmctst70c:31330 cldinfvmctst70d:31330 cldinfvmctst70e:31330,vs_OCP4_eai-cdi-integrationsuite-aat3_31330_dc6,160.93.31.41,,snatpool_OCP4_cloudhighportService_dc6,pTcp_cloudTcpClient_Verified_dc6,pTcp_cloudTcpServer_dc6,2024-01-19 16:17
RID-00006,highport,Cloud,False,monTcp_OCP4_eai-cdi-integrationsuite-aat3_31330_dc6,,cldinfvmctst70c:31330 cldinfvmctst70d:31330 cldinfvmctst70e:31330,vs_OCP4_eai-cdi-integrationsuite-aat3_31330_dc6,160.93.31.41,,snatpool_OCP4_cloudhighportService_dc6,pTcp_cloudTcpClient_Verified_dc6,pTcp_cloudTcpServer_dc6,2024-01-19 16:21
RID-240103_testcase_12,highport,Cloud,False,monTcp_OCP4_incorrect-vip-aat_31332_dc7,31332,cldinfvmctst72c:31332 cldinfvmctst72d:31332 cldinfvmctst72e:31332 cldinfvmctst72f:31332 cldinfvmctst72g:31332,vs_OCP4_incorrect-vip-aat_31332_dc7,160.89.62.41,31332,snatpool_OCP4_hadev_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 17:35
RID-240103_testcase_12,highport,Cloud,True,monTcp_OCP4_hadev_hadev-aat_31333_dc7,31333,cldinfvmctst71c:31333 cldinfvmctst71d:31333 cldinfvmctst71e:31333 cldinfvmctst71f:31333 cldinfvmctst71g:31333,vs_OCP4_hadev_hadev-aat_31333_dc7,,31333,snatpool_OCP4_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 17:35
RID-240103_testcase_12,highport,Cloud,False,monTcp_OCP4_high-port-prd_31333_dc7,31333,cldinfvmctst72c:31333 cldinfvmctst72d:31333 cldinfvmctst72e:31333 cldinfvmctst72f:31333 cldinfvmctst72g:31333,vs_OCP4_high-port-prd_31333_dc7,160.89.62.41,31333,snatpool_OCP4_hadev_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 17:35
RID-240103_testcase_12,highport,Cloud,False,monTcp_OCP4_high-port-diff-vs-port-prd_31334_dc7,31334,cldinfvmctst72c:31334 cldinfvmctst72d:31334 cldinfvmctst72e:31334 cldinfvmctst72f:31334 cldinfvmctst72g:31334,vs_OCP4_high-port-diff-vs-port-prd_31334_dc7,160.89.62.41,80,snatpool_OCP4_hadev_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 17:35
RID-240103_testcase_12,highport,Cloud,False,monTcp_OCP4_high-port-prd_31333_dc6,31333,cldinfvmctst72c:31333 cldinfvmctst72d:31333 cldinfvmctst72e:31333 cldinfvmctst72f:31333 cldinfvmctst72g:31333,vs_OCP4_high-port-prd_31333_dc6,160.93.31.41,31333,snatpool_OCP4_hadev_cloudhighportService_dc6,pTcp_cloudTcpClient_Verified_dc6,pTcp_cloudTcpServer_dc6,2024-01-19 17:35
RID-240103_testcase_12,highport,Cloud,False,monTcp_OCP4_incorrect-vip-aat_31332_dc7,31332,cldinfvmctst72c:31332 cldinfvmctst72d:31332 cldinfvmctst72e:31332 cldinfvmctst72f:31332 cldinfvmctst72g:31332,vs_OCP4_incorrect-vip-aat_31332_dc7,160.89.62.41,31332,snatpool_OCP4_hadev_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 17:36
RID-240103_testcase_12,highport,Cloud,True,monTcp_OCP4_hadev_hadev-aat_31333_dc7,31333,cldinfvmctst71c:31333 cldinfvmctst71d:31333 cldinfvmctst71e:31333 cldinfvmctst71f:31333 cldinfvmctst71g:31333,vs_OCP4_hadev_hadev-aat_31333_dc7,,31333,snatpool_OCP4_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 17:36
RID-240103_testcase_12,highport,Cloud,False,monTcp_OCP4_high-port-prd_31333_dc7,31333,cldinfvmctst72c:31333 cldinfvmctst72d:31333 cldinfvmctst72e:31333 cldinfvmctst72f:31333 cldinfvmctst72g:31333,vs_OCP4_high-port-prd_31333_dc7,160.89.62.41,31333,snatpool_OCP4_hadev_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 17:36
RID-240103_testcase_12,highport,Cloud,False,monTcp_OCP4_high-port-diff-vs-port-prd_31334_dc7,31334,cldinfvmctst72c:31334 cldinfvmctst72d:31334 cldinfvmctst72e:31334 cldinfvmctst72f:31334 cldinfvmctst72g:31334,vs_OCP4_high-port-diff-vs-port-prd_31334_dc7,160.89.62.41,80,snatpool_OCP4_hadev_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 17:36
RID-240103_testcase_12,highport,Cloud,False,monTcp_OCP4_high-port-prd_31333_dc6,31333,cldinfvmctst72c:31333 cldinfvmctst72d:31333 cldinfvmctst72e:31333 cldinfvmctst72f:31333 cldinfvmctst72g:31333,vs_OCP4_high-port-prd_31333_dc6,160.93.31.41,31333,snatpool_OCP4_hadev_cloudhighportService_dc6,pTcp_cloudTcpClient_Verified_dc6,pTcp_cloudTcpServer_dc6,2024-01-19 17:36
RID-240103_testcase_12,highport,Cloud,False,monTcp_OCP4_incorrect-vip-aat_31332_dc7,31332,cldinfvmctst72c:31332 cldinfvmctst72d:31332 cldinfvmctst72e:31332 cldinfvmctst72f:31332 cldinfvmctst72g:31332,vs_OCP4_incorrect-vip-aat_31332_dc7,160.89.62.41,31332,snatpool_OCP4_hadev_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 17:58
RID-240103_testcase_12,highport,Cloud,False,monTcp_OCP4_high-port-prd_31333_dc7,31333,cldinfvmctst72c:31333 cldinfvmctst72d:31333 cldinfvmctst72e:31333 cldinfvmctst72f:31333 cldinfvmctst72g:31333,vs_OCP4_high-port-prd_31333_dc7,160.89.62.41,31333,snatpool_OCP4_hadev_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 17:58
RID-240103_testcase_12,highport,Cloud,False,monTcp_OCP4_high-port-diff-vs-port-prd_31334_dc7,31334,cldinfvmctst72c:31334 cldinfvmctst72d:31334 cldinfvmctst72e:31334 cldinfvmctst72f:31334 cldinfvmctst72g:31334,vs_OCP4_high-port-diff-vs-port-prd_31334_dc7,160.89.62.41,80,snatpool_OCP4_hadev_cloudhighportService_dc7,pTcp_cloudTcpClient_Verified_dc7,pTcp_cloudTcpServer_dc7,2024-01-19 17:58
RID-240103_testcase_12,highport,Cloud,False,monTcp_OCP4_high-port-prd_31333_dc6,31333,cldinfvmctst72c:31333 cldinfvmctst72d:31333 cldinfvmctst72e:31333 cldinfvmctst72f:31333 cldinfvmctst72g:31333,vs_OCP4_high-port-prd_31333_dc6,160.93.31.41,31333,snatpool_OCP4_hadev_cloudhighportService_dc6,pTcp_cloudTcpClient_Verified_dc6,pTcp_cloudTcpServer_dc6,2024-01-19 17:58
